ss_id,start_datetime_GMT,end_datetime_GMT,latitude_rounded,longitude_rounded,orientation,tilt,kWp
2405,2010-11-18T00:30:00Z,2025-04-02T00:00:00Z,53.53,-1.63,180.0,35.0,3.36
2406,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,315.0,30.0,1.89
2407,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2408,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2409,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2410,2011-02-04T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2411,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2412,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2413,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2414,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,135.0,30.0,1.89
2415,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2416,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2417,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2418,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2419,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2420,2011-02-08T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,135.0,30.0,1.89
2421,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2422,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2423,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2424,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2425,2011-02-08T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2426,2011-03-29T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2427,2010-12-03T00:30:00Z,2020-11-24T00:00:00Z,54.88,-1.38,225.0,30.0,1.89
2428,2010-12-20T00:30:00Z,2025-04-02T00:00:00Z,53.46,-1.46,180.0,30.0,3.36
2429,2011-02-03T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.59,190.0,45.0,1.05
2430,2011-01-05T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.58,180.0,45.0,1.05
2431,2011-02-03T00:30:00Z,2025-04-02T00:00:00Z,53.4,-2.59,160.0,35.0,3.7
2432,2010-12-20T00:30:00Z,2022-11-30T23:30:00Z,53.4,-2.59,160.0,35.0,3.7
2433,2011-02-03T00:30:00Z,2025-03-24T00:00:00Z,53.42,-2.58,190.0,45.0,1.05
2434,2010-12-16T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.58,190.0,45.0,1.05
2435,2010-12-16T00:30:00Z,2019-05-24T00:00:00Z,53.42,-2.59,190.0,45.0,1.05
2436,2010-12-16T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.58,190.0,45.0,1.05
2437,2010-12-20T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,215.0,45.0,1.62
2438,2010-12-20T00:30:00Z,2022-08-03T00:00:00Z,51.06,-1.3,150.0,45.0,1.8
2439,2010-12-20T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,150.0,45.0,2.88
2440,2011-01-07T00:30:00Z,2019-09-18T00:00:00Z,51.06,-1.3,150.0,45.0,3.78
2441,2011-01-19T00:30:00Z,2022-11-30T23:30:00Z,51.06,-1.3,150.0,45.0,1.8
2442,2011-06-16T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2443,2010-12-24T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2444,2011-02-03T00:30:00Z,2021-01-22T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2445,2010-12-24T00:30:00Z,2023-07-27T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2446,2011-02-03T00:30:00Z,2018-06-11T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2447,2010-12-24T00:30:00Z,2021-12-24T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2448,2010-12-24T00:30:00Z,2025-03-31T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2449,2010-12-24T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2450,2010-12-24T00:30:00Z,2024-12-10T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2451,2010-12-24T00:30:00Z,2022-06-07T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2452,2011-02-01T00:30:00Z,2025-04-02T00:00:00Z,53.42,-2.59,150.0,45.0,1.05
2453,2011-01-28T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,135.0,45.0,1.62
2454,2011-01-21T00:30:00Z,2017-10-17T00:00:00Z,51.06,-1.3,215.0,45.0,2.52
2455,2011-01-21T00:30:00Z,2020-07-08T00:00:00Z,51.06,-1.3,215.0,45.0,1.62
2456,2011-01-21T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,135.0,45.0,1.8
2457,2011-03-04T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,135.0,45.0,3.78
2458,2011-01-21T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,135.0,45.0,2.34
2459,2011-01-28T00:30:00Z,2017-04-24T00:00:00Z,51.06,-1.3,135.0,45.0,3.24
2460,2011-01-27T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,210.0,45.0,2.88
2461,2011-02-09T00:30:00Z,2024-08-06T00:00:00Z,51.06,-1.3,135.0,45.0,1.8
2462,2011-02-09T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,145.0,45.0,1.8
2463,2011-02-09T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,210.0,45.0,1.62
2464,2011-02-09T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,135.0,45.0,1.44
2465,2011-05-04T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,217.0,45.0,2.16
2466,2011-02-03T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,217.0,45.0,2.52
2467,2011-02-04T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,217.0,45.0,3.6
2468,2011-02-07T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,145.0,45.0,3.6
2469,2011-02-04T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,217.0,45.0,1.8
2470,2011-02-03T00:30:00Z,2021-05-19T00:00:00Z,51.06,-1.29,217.0,45.0,2.7
2471,2011-02-14T00:30:00Z,2025-04-02T00:00:00Z,53.46,-1.46,180.0,45.0,3.33
2472,2011-04-27T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,217.0,45.0,2.88
2473,2011-03-07T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,217.0,45.0,1.62
2474,2011-02-07T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,145.0,45.0,1.8
2475,2011-02-07T00:30:00Z,2021-09-20T00:00:00Z,51.06,-1.29,145.0,45.0,3.78
2476,2011-02-14T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.29,145.0,45.0,2.34
2477,2011-02-14T00:30:00Z,2019-11-07T00:00:00Z,51.06,-1.3,145.0,45.0,1.8
2478,2011-02-14T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,217.0,45.0,1.8
2479,2011-02-14T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,217.0,45.0,2.52
2480,2011-02-23T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,145.0,45.0,3.6
2481,2011-03-01T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,145.0,45.0,2.52
2482,2011-02-21T00:30:00Z,2016-09-12T00:00:00Z,51.06,-1.3,217.0,45.0,3.6
2483,2011-03-01T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,217.0,45.0,2.88
2484,2011-03-03T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,217.0,45.0,2.7
2485,2011-02-21T00:30:00Z,2025-04-02T00:00:00Z,53.41,-2.59,185.0,40.0,1.8
2486,2011-02-21T00:30:00Z,2025-04-02T00:00:00Z,53.41,-2.59,185.0,40.0,1.8
2487,2011-02-21T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,145.0,45.0,1.98
2488,2011-03-01T00:30:00Z,2019-10-09T00:00:00Z,51.06,-1.3,145.0,45.0,3.78
2489,2011-03-02T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,217.0,45.0,2.88
2490,2011-03-30T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,145.0,45.0,3.6
2491,2011-03-30T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,145.0,45.0,3.6
2492,2011-03-01T00:30:00Z,2017-04-24T00:00:00Z,51.06,-1.3,217.0,45.0,2.7
2493,2011-03-04T00:30:00Z,2025-04-02T00:00:00Z,53.46,-1.46,180.0,45.0,3.33
2494,2011-03-10T00:30:00Z,2025-04-02T00:00:00Z,53.47,-1.48,180.0,35.0,3.84
2495,2011-03-11T00:30:00Z,2021-08-20T00:00:00Z,51.69,-1.43,180.0,30.0,3.29
2496,2011-03-11T00:30:00Z,2021-08-20T00:00:00Z,51.69,-1.43,180.0,30.0,3.29
2497,2011-03-11T00:30:00Z,2019-08-29T00:00:00Z,51.58,-1.26,135.0,30.0,2.35
2498,2011-03-11T00:30:00Z,2021-08-20T00:00:00Z,51.58,-1.26,135.0,30.0,2.35
2499,2011-03-11T00:30:00Z,2021-08-20T00:00:00Z,51.58,-1.26,135.0,30.0,2.35
2500,2011-03-18T00:30:00Z,2021-08-20T00:00:00Z,52.99,-2.51,180.0,40.0,3.96
2501,2011-01-21T00:30:00Z,2025-04-02T00:00:00Z,51.06,-1.3,215.0,45.0,1.44
2502,2011-09-09T00:30:00Z,2017-03-23T00:00:00Z,50.77,-1.92,135.0,38.0,2.25
2503,2011-05-20T00:30:00Z,2025-04-02T00:00:00Z,53.39,-2.59,170.0,30.0,1.6
2504,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2505,2011-05-25T00:30:00Z,2025-04-02T00:00:00Z,51.8,-0.72,180.0,35.0,3.08
2506,2011-05-25T00:30:00Z,2025-04-02T00:00:00Z,51.71,-1.01,180.0,45.0,3.74
2507,2011-05-20T00:30:00Z,2017-04-24T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2508,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2509,2011-05-20T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,240.0,30.0,2.1
2510,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2511,2011-05-20T00:30:00Z,2020-05-19T00:00:00Z,54.83,-1.46,215.0,30.0,2.1
2512,2011-05-24T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,250.0,30.0,2.1
2513,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2514,2011-05-20T00:30:00Z,2020-05-19T00:00:00Z,54.83,-1.46,105.0,30.0,2.1
2515,2011-05-24T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,200.0,30.0,2.1
2516,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2517,2011-05-24T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,200.0,30.0,2.1
2518,2011-05-20T00:30:00Z,2020-05-19T00:00:00Z,54.83,-1.46,175.0,30.0,2.1
2519,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2520,2011-05-24T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,250.0,30.0,2.1
2521,2011-05-20T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,190.0,30.0,2.1
2522,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2523,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2524,2011-05-20T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,200.0,30.0,2.1
2525,2011-05-20T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2526,2011-05-20T00:30:00Z,2020-05-19T00:00:00Z,54.83,-1.46,180.0,30.0,2.1
2527,2011-05-20T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,180.0,30.0,2.1
2528,2011-05-20T00:30:00Z,2020-05-19T00:00:00Z,54.84,-1.5,150.0,30.0,2.1
2529,2011-05-20T00:30:00Z,2020-05-19T00:00:00Z,54.84,-1.5,150.0,30.0,2.1
2530,2011-06-17T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,240.0,30.0,2.1
2531,2011-06-17T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2532,2011-05-20T00:30:00Z,2020-05-19T00:00:00Z,54.83,-1.46,195.0,30.0,2.1
2533,2011-05-20T00:30:00Z,2018-06-29T00:00:00Z,51.46,-0.9,180.0,30.0,3.33
2534,2011-05-20T00:30:00Z,2025-03-27T00:00:00Z,51.17,-1.63,180.0,30.0,2.59
2535,2011-05-20T00:30:00Z,2024-11-25T00:00:00Z,51.74,-0.45,180.0,30.0,2.59
2536,2011-05-27T00:30:00Z,2025-04-01T00:00:00Z,51.87,-1.28,135.0,45.0,3.96
2537,2011-05-27T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,200.0,30.0,2.1
2538,2011-05-27T00:30:00Z,2020-11-24T00:00:00Z,54.83,-1.46,250.0,30.0,2.1
2539,2011-05-27T00:30:00Z,2017-04-24T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
2540,2011-06-01T00:30:00Z,2019-04-29T00:00:00Z,53.43,-2.69,180.0,30.0,0.66
