ss_id,latitude_rounded,longitude_rounded,llsoacd,orientation,tilt,kwp,operational_at
2405,53.53,-1.63,E01007430,180.0,35.0,3.36,2010-11-18
2406,54.88,-1.38,E01008780,315.0,30.0,1.89,2010-12-03
2407,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2408,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2409,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2410,54.88,-1.38,E01008780,225.0,30.0,1.89,2011-02-04
2411,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2412,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2413,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2414,54.88,-1.38,E01008780,135.0,30.0,1.89,2010-12-03
2415,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2416,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2417,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2418,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2419,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2420,54.88,-1.38,E01008780,135.0,30.0,1.89,2011-02-08
2421,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2422,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2423,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2424,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2425,54.88,-1.38,E01008780,225.0,30.0,1.89,2011-02-08
2426,54.88,-1.38,E01008780,225.0,30.0,1.89,2011-03-29
2427,54.88,-1.38,E01008780,225.0,30.0,1.89,2010-12-03
2428,53.46,-1.46,E01007891,180.0,30.0,3.36,2010-12-20
2429,53.42,-2.59,E01012535,190.0,45.0,1.05,2011-02-03
2430,53.42,-2.58,E01012534,180.0,45.0,1.05,2011-01-05
2431,53.4,-2.59,E01012520,160.0,35.0,3.7,2011-02-03
2432,53.4,-2.59,E01012520,160.0,35.0,3.7,2010-12-20
2433,53.42,-2.58,E01012534,190.0,45.0,1.05,2011-02-03
2434,53.42,-2.58,E01012534,190.0,45.0,1.05,2010-12-16
2435,53.42,-2.59,E01012535,190.0,45.0,1.05,2010-12-16
2436,53.42,-2.58,E01012534,190.0,45.0,1.05,2010-12-16
2437,51.06,-1.3,E01023258,215.0,45.0,1.62,2010-12-20
2438,51.06,-1.3,E01023258,150.0,45.0,1.8,2010-12-20
2439,51.06,-1.3,E01023258,150.0,45.0,2.88,2010-12-20
2440,51.06,-1.3,E01023258,150.0,45.0,3.78,2011-01-07
2441,51.06,-1.3,E01023258,150.0,45.0,1.8,2011-01-19
2442,53.42,-2.59,E01012535,150.0,45.0,1.05,2011-06-16
2443,53.42,-2.59,E01012535,150.0,45.0,1.05,2010-12-24
2444,53.42,-2.59,E01012535,150.0,45.0,1.05,2011-02-03
2445,53.42,-2.59,E01012535,150.0,45.0,1.05,2010-12-24
2446,53.42,-2.59,E01012535,150.0,45.0,1.05,2011-02-03
2447,53.42,-2.59,E01012535,150.0,45.0,1.05,2010-12-24
2448,53.42,-2.59,E01012535,150.0,45.0,1.05,2010-12-24
2449,53.42,-2.59,E01012535,150.0,45.0,1.05,2010-12-24
2450,53.42,-2.59,E01012535,150.0,45.0,1.05,2010-12-24
2451,53.42,-2.59,E01012535,150.0,45.0,1.05,2010-12-24
2452,53.42,-2.59,E01012535,150.0,45.0,1.05,2011-02-01
2453,51.06,-1.3,E01023258,135.0,45.0,1.62,2011-01-28
2454,51.06,-1.3,E01023258,215.0,45.0,2.52,2011-01-21
2455,51.06,-1.3,E01023258,215.0,45.0,1.62,2011-01-21
2456,51.06,-1.3,E01023258,135.0,45.0,1.8,2011-01-21
2457,51.06,-1.3,E01023258,135.0,45.0,3.78,2011-03-04
2458,51.06,-1.3,E01023258,135.0,45.0,2.34,2011-01-21
2459,51.06,-1.3,E01023258,135.0,45.0,3.24,2011-01-28
2460,51.06,-1.3,E01023258,210.0,45.0,2.88,2011-01-27
2461,51.06,-1.3,E01023258,135.0,45.0,1.8,2011-02-09
2462,51.06,-1.3,E01023258,145.0,45.0,1.8,2011-02-09
2463,51.06,-1.3,E01023258,210.0,45.0,1.62,2011-02-09
2464,51.06,-1.3,E01023258,135.0,45.0,1.44,2011-02-09
2465,51.06,-1.29,E01023256,217.0,45.0,2.16,2011-05-04
2466,51.06,-1.29,E01023256,217.0,45.0,2.52,2011-02-03
2467,51.06,-1.29,E01023256,217.0,45.0,3.6,2011-02-04
2468,51.06,-1.29,E01023256,145.0,45.0,3.6,2011-02-07
2469,51.06,-1.29,E01023256,217.0,45.0,1.8,2011-02-04
2470,51.06,-1.29,E01023256,217.0,45.0,2.7,2011-02-03
2471,53.46,-1.46,E01007891,180.0,45.0,3.33,2011-02-14
2472,51.06,-1.3,E01023256,217.0,45.0,2.88,2011-04-27
2473,51.06,-1.29,E01023256,217.0,45.0,1.62,2011-03-07
2474,51.06,-1.29,E01023256,145.0,45.0,1.8,2011-02-07
2475,51.06,-1.29,E01023256,145.0,45.0,3.78,2011-02-07
2476,51.06,-1.29,E01023256,145.0,45.0,2.34,2011-02-14
2477,51.06,-1.3,E01023256,145.0,45.0,1.8,2011-02-14
2478,51.06,-1.3,E01023256,217.0,45.0,1.8,2011-02-14
2479,51.06,-1.3,E01023256,217.0,45.0,2.52,2011-02-14
2480,51.06,-1.3,E01023256,145.0,45.0,3.6,2011-02-23
2481,51.06,-1.3,E01023256,145.0,45.0,2.52,2011-03-01
2482,51.06,-1.3,E01023256,217.0,45.0,3.6,2011-02-21
2483,51.06,-1.3,E01023256,217.0,45.0,2.88,2011-03-01
2484,51.06,-1.3,E01023256,217.0,45.0,2.7,2011-03-03
2485,53.41,-2.59,E01012526,185.0,40.0,1.8,2011-02-21
2486,53.41,-2.59,E01012526,185.0,40.0,1.8,2011-02-21
2487,51.06,-1.3,E01023256,145.0,45.0,1.98,2011-02-21
2488,51.06,-1.3,E01023256,145.0,45.0,3.78,2011-03-01
2489,51.06,-1.3,E01023255,217.0,45.0,2.88,2011-03-02
2490,51.06,-1.3,E01023255,145.0,45.0,3.6,2011-03-30
2491,51.06,-1.3,E01023255,145.0,45.0,3.6,2011-03-30
2492,51.06,-1.3,E01023255,217.0,45.0,2.7,2011-03-01
2493,53.46,-1.46,E01007891,180.0,45.0,3.33,2011-03-04
2494,53.47,-1.48,E01007889,180.0,35.0,3.84,2011-03-10
2495,51.69,-1.43,E01028737,180.0,30.0,3.29,2011-03-11
2496,51.69,-1.43,E01028737,180.0,30.0,3.29,2011-03-11
2497,51.58,-1.26,E01028712,135.0,30.0,2.35,2011-03-11
2498,51.58,-1.26,E01028712,135.0,30.0,2.35,2011-03-11
2499,51.58,-1.26,E01028712,135.0,30.0,2.35,2011-03-11
2500,52.99,-2.51,E01018450,180.0,40.0,3.96,2011-03-18
2501,51.06,-1.3,E01023258,215.0,45.0,1.44,2011-01-21
2502,50.77,-1.92,E01015302,135.0,38.0,2.25,2011-09-09
2503,53.39,-2.59,E01033300,170.0,30.0,1.6,2011-05-20
2504,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2505,51.8,-0.72,E01017632,180.0,35.0,3.08,2011-05-25
2506,51.71,-1.01,E01028598,180.0,45.0,3.74,2011-05-25
2507,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2508,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2509,54.83,-1.46,E01008748,240.0,30.0,2.1,2011-05-20
2510,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2511,54.83,-1.46,E01008748,215.0,30.0,2.1,2011-05-20
2512,54.83,-1.46,E01008748,250.0,30.0,2.1,2011-05-24
2513,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2514,54.83,-1.46,E01008748,105.0,30.0,2.1,2011-05-20
2515,54.83,-1.46,E01008748,200.0,30.0,2.1,2011-05-24
2516,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2517,54.83,-1.46,E01008748,200.0,30.0,2.1,2011-05-24
2518,54.83,-1.46,E01008748,175.0,30.0,2.1,2011-05-20
2519,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2520,54.83,-1.46,E01008748,250.0,30.0,2.1,2011-05-24
2521,54.83,-1.46,E01008748,190.0,30.0,2.1,2011-05-20
2522,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2523,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2524,54.83,-1.46,E01008748,200.0,30.0,2.1,2011-05-20
2525,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-20
2526,54.83,-1.46,E01008748,180.0,30.0,2.1,2011-05-20
2527,54.83,-1.46,E01008748,180.0,30.0,2.1,2011-05-20
2528,54.84,-1.5,E01008755,150.0,30.0,2.1,2011-05-20
2529,54.84,-1.5,E01008755,150.0,30.0,2.1,2011-05-20
2530,54.83,-1.46,E01008748,240.0,30.0,2.1,2011-06-17
2531,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-06-17
2532,54.83,-1.46,E01008748,195.0,30.0,2.1,2011-05-20
2533,51.46,-0.9,E01016624,180.0,30.0,3.33,2011-05-20
2534,51.17,-1.63,E01023159,180.0,30.0,2.59,2011-05-20
2535,51.74,-0.45,E01023359,180.0,30.0,2.59,2011-05-20
2536,51.87,-1.28,E01028498,135.0,45.0,3.96,2011-05-27
2537,54.83,-1.46,E01008748,200.0,30.0,2.1,2011-05-27
2538,54.83,-1.46,E01008748,250.0,30.0,2.1,2011-05-27
2539,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-05-27
2540,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-06-01
2541,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-06-01
2542,54.83,-1.46,E01008748,40.0,30.0,4.0,2011-06-03
2543,51.42,-1.23,E01016265,225.0,35.0,3.96,2011-06-03
2544,51.89,-1.19,E01028424,90.0,45.0,3.96,2011-06-03
2545,53.63,-2.21,E01005570,160.0,25.0,3.42,2011-06-03
2546,53.56,-2.28,E01005058,200.0,25.0,3.42,2011-06-03
2547,53.22,-1.46,E01019588,240.0,22.0,3.84,2011-05-25
2548,53.43,-2.59,E01012468,200.0,25.0,3.42,2011-06-07
2549,53.43,-1.19,E01007759,180.0,30.0,2.82,2011-06-08
2550,50.77,-1.91,E01015304,158.0,38.0,2.22,2011-06-14
2551,50.77,-1.91,E01015304,225.0,38.0,2.22,2011-06-14
2552,53.24,-1.48,E01019559,180.0,30.0,3.76,2011-06-17
2553,53.52,-1.62,E01007430,180.0,30.0,3.76,2011-06-17
2554,53.43,-2.69,E01006900,180.0,30.0,0.66,2011-06-22
2555,51.48,-0.63,E01016549,185.0,30.0,2.59,2011-06-22
2556,51.92,-1.14,E01028478,180.0,30.0,2.59,2011-06-22
2557,51.53,-0.7,E01016585,185.0,40.0,3.33,2011-06-24
2558,51.64,-0.73,E01017922,135.0,35.0,1.98,2011-06-24
2559,53.83,-3.03,E01012707,180.0,30.0,2.4,2011-06-24
2560,50.76,-1.91,E01015309,200.0,40.0,2.25,2011-06-24
2561,53.04,0.01,E01026098,180.0,45.0,2.3,2011-06-24
2562,53.04,0.01,E01026098,180.0,45.0,2.3,2011-06-24
2563,53.04,0.01,E01026098,180.0,45.0,2.3,2011-06-22
2564,53.51,-2.26,E01005650,180.0,30.0,0.66,2011-06-28
2565,53.51,-2.26,E01005650,180.0,30.0,0.66,2011-06-28
